-4.179,9.659,6.039
-4.377,9.642,5.899
-4.576,9.618,5.734
-4.773,9.589,5.543
-4.97,9.554,5.324
-5.165,9.514,5.097
-5.359,9.467,4.856
-5.552,9.415,4.595
-5.742,9.355,4.343
-5.93,9.287,4.15
-6.112,9.206,3.993
-6.287,9.11,3.848
-6.451,8.997,3.714
-6.603,8.867,3.585
-6.738,8.72,3.463
-6.852,8.557,3.367
-6.942,8.379,3.316
-7.001,8.188,3.266
-7.026,7.991,3.211
-7.017,7.792,3.21
-6.971,7.598,3.208
-6.894,7.414,3.301
-6.794,7.241,3.487
-6.677,7.08,3.685
-6.546,6.929,3.902
-6.404,6.788,4.127
-6.254,6.657,4.336
-6.096,6.535,4.526
-5.931,6.422,4.711
-5.761,6.318,4.885
-5.587,6.221,5.063
-5.409,6.13,5.231
-5.23,6.042,4.92
-5.051,5.953,4.619
-4.875,5.859,4.375
-4.704,5.756,4.18
-4.54,5.643,4.019
-4.386,5.516,3.893
-4.245,5.375,3.774
-4.12,5.22,3.653
-4.014,5.051,3.608
-3.933,4.869,3.606
-3.879,4.676,3.605
-3.854,4.479,3.654
-3.856,4.279,3.657
-3.883,4.081,3.772
-3.927,3.887,3.955
-3.985,3.696,4.16
-4.055,3.509,4.374
-4.135,3.326,4.591
-4.223,3.147,4.814
-4.314,2.97,4.727
-4.405,2.792,4.414
-4.491,2.612,4.166
-4.567,2.427,3.971
-4.629,2.238,3.816
-4.672,2.043,3.678
-4.694,1.845,3.536
-4.692,1.645,3.392
-4.665,1.447,3.239
-4.61,1.256,3.18
-4.522,1.077,3.179
-4.401,0.918,3.177
-4.255,0.783,3.243
-4.091,0.669,3.392
-3.915,0.576,3.563
-3.73,0.5,3.785
-3.542,0.434,4.053
-3.352,0.372,4.305
-3.163,0.308,4.214
-2.976,0.238,3.904
-2.793,0.16,3.611
-2.615,0.069,3.351
-2.448,-0.04,3.145
-2.297,-0.17,3.063
-2.172,-0.325,3.062
-2.082,-0.503,3.06
-2.031,-0.695,3.063
-2.022,-0.894,3.069
-2.053,-1.091,3.081
-2.121,-1.279,3.134
-2.219,-1.452,3.246
-2.34,-1.611,3.421
-2.477,-1.756,3.614
-2.627,-1.887,3.831
-2.785,-2.009,4.096
-2.948,-2.125,4.345
-3.111,-2.24,4.534
-3.273,-2.356,4.217
-3.431,-2.478,3.939
-3.582,-2.609,3.69
-3.722,-2.75,3.472
-3.848,-2.906,3.266
-3.953,-3.075,3.123
-4.029,-3.259,3.081
-4.069,-3.454,3.079
-4.068,-3.654,3.078
-4.026,-3.848,3.081
-3.947,-4.031,3.127
-3.839,-4.199,3.234
-3.706,-4.347,3.353
-3.554,-4.477,3.489
-3.388,-4.587,3.628
-3.21,-4.677,3.761
-3.023,-4.748,3.886
-2.83,-4.799,4.002
-2.634,-4.832,4.112
-2.435,-4.846,4.217
-2.235,-4.843,4.321
-2.037,-4.824,4.425
-1.84,-4.789,4.529
-1.647,-4.74,4.629
-1.457,-4.678,4.728
-1.272,-4.602,4.825
-1.093,-4.515,4.919
-0.92,-4.416,5.2
-0.753,-4.307,5.28
-0.592,-4.188,5.36
-0.439,-4.06,5.44
-0.294,-3.923,5.52
-0.158,-3.777,5.6
-0.03,-3.624,5.68
0.09,-3.464,5.76
0.2,-3.298,5.84
0.301,-3.126,5.92
0.393,-2.949,6
0.476,-2.767,6.08
0.552,-2.583,6.16
0.619,-2.395,6.24
0.679,-2.204,6.6
0.731,-2.012,6.6
0.777,-1.818,6.6
0.817,-1.622,6.6
0.85,-1.425,6.64
0.878,-1.228,6.71
0.901,-1.029,6.71
0.919,-0.831,6.842
0.932,-0.631,6.979
0.942,-0.432,7.122
0.948,-0.233,7.266
0.951,-0.033,7.407
0.951,0.167,7.545
0.949,0.366,7.681
0.944,0.566,7.814
0.938,0.765,7.945
0.931,0.965,8.073
0.922,1.164,8.2
0.912,1.363,8.324
0.902,1.563,8.447
0.892,1.762,8.5
0.882,1.961,8.5
0.871,2.161,8.5
0.861,2.36,8.5
0.852,2.559,8.5
0.843,2.759,8.5
0.834,2.958,8.5
0.826,3.158,8.5
0.818,3.357,8.5
0.81,3.556,8.5
0.802,3.756,8.5
0.793,3.955,8.465
0.784,4.155,8.249
0.775,4.354,8.034
0.764,4.553,7.831
0.752,4.752,7.648
0.738,4.952,7.472
0.722,5.15,7.3
0.702,5.349,7.134
0.68,5.547,6.975
0.654,5.745,6.823
0.624,5.943,6.678
0.589,6.139,6.542
0.549,6.335,6.413
0.503,6.529,6.294
0.452,6.722,6.183
0.394,6.913,6.081
0.328,7.101,5.989
0.255,7.287,5.908
0.174,7.469,5.838
0.085,7.648,5.78
-0.014,7.821,5.736
-0.121,7.989,5.707
-0.238,8.151,5.694
-0.364,8.306,5.684
-0.5,8.453,5.681
-0.644,8.591,5.679
-0.796,8.72,5.687
-0.955,8.84,5.714
-1.12,8.952,5.756
-1.291,9.055,5.81
-1.466,9.15,5.871
-1.646,9.237,5.938
-1.83,9.316,6.007
-2.016,9.386,6.017
-2.206,9.449,6.027
-2.397,9.504,6.037
-2.591,9.551,6.047
-2.787,9.591,6.05700000000001
-2.984,9.623,6.06700000000001
-3.182,9.647,6.07700000000001
-3.381,9.664,6.08700000000001
-3.58,9.673,6.09700000000001
-3.78,9.675,6.10700000000001
-3.979,9.671,6.11700000000001
